X,Y,st_nm
93.82489014,6.892557876,Andaman and Nicobar Islands
93.6741118,7.322217369,Andaman and Nicobar Islands
93.36186498,7.923109968,Andaman and Nicobar Islands
93.49824933,8.103798115,Andaman and Nicobar Islands
92.77199063,9.192128774,Andaman and Nicobar Islands
92.48593209,10.73217905,Andaman and Nicobar Islands
92.66881739,11.88564162,Andaman and Nicobar Islands
92.79125179,12.13146042,Andaman and Nicobar Islands
92.83583905,12.60208994,Andaman and Nicobar Islands
92.6937598,12.93615301,Andaman and Nicobar Islands
92.93781603,13.17882095,Andaman and Nicobar Islands
95.04580234,28.05196746,Arunachal Pradesh
90.79609336,26.05284298,Assam
86.07780994,25.95829741,Bihar
76.77708507,30.74127759,Chandigarh
81.50945597,20.97782047,Chhattisgarh
73.00814873,20.20989711,Dadra and Nagar Haveli and Daman and Diu 
73.00814873,20.20989711,Dadra and Nagar Haveli and Daman and Diu
74.06180027,15.39855317,Goa
68.32435328,23.65872656,Gujarat
68.32152471,23.90664769,Gujarat
71.95710701,22.39706309,Gujarat
76.05832316,29.30942915,Haryana
77.39993518,31.70564811,Himachal Pradesh
85.18439873,23.66187764,Jharkhand
75.5143156,15.00356004,Karnataka
76.45255744,10.57145041,Kerala
74.05163092,11.25533371,Lakshadweep
71.79085763,11.89824707,Lakshadweep
79.38588947,23.97808248,Madhya Pradesh
75.35352076,18.81481701,Maharashtra
93.83015132,24.68927934,Manipur
91.25818282,25.57170992,Meghalaya
92.88173854,23.42026077,Mizoram
94.5673701,26.13688492,Nagaland
77.11842793,28.6276482,Delhi
79.79551809,10.91601775,Puducherry
75.54138154,11.73541811,Puducherry
79.68244818,11.81000456,Puducherry
79.76168612,11.80790309,Puducherry
79.65502881,11.82471207,Puducherry
79.63030307,11.8667314,Puducherry
79.67194941,11.96022796,Puducherry
79.63398377,11.96547985,Puducherry
79.78906262,11.9305698,Puducherry
79.84760796,12.02325822,Puducherry
75.65786427,31.0921487,Punjab
73.82464054,26.64007869,Rajasthan
88.48172436,27.70739938,Sikkim
79.78455839,11.88248899,Tamil Nadu
78.35471043,10.80256303,Tamil Nadu
79.31252686,17.90087215,Telangana
91.64515932,23.69444357,Tripura
80.79293643,27.14747653,Uttar Pradesh
79.25671927,30.01642445,Uttarakhand
88.26228692,21.64594631,West Bengal
88.83303751,21.70477525,West Bengal
88.33149427,21.77936116,West Bengal
88.1119264,21.76255339,West Bengal
88.87483541,21.89071587,West Bengal
88.84081804,21.9842116,West Bengal
88.69307672,22.13338421,West Bengal
88.99456371,22.30251649,West Bengal
88.93249307,22.50841678,West Bengal
88.01877964,24.47287391,West Bengal
84.52191219,20.24666382,Odisha
79.3793037,15.87233233,Andhra Pradesh
74.87974198,33.78356049,Jammu and Kashmir
77.5905872,34.68279761,jammu and Kashmir
