st_nm,Per_Capita_Stat
Andhra Pradesh,41.1
Arunachal Pradesh,20.6
Assam,18.5
Bihar,8.8
Chattisgarh,19.1
Goa,73.9
Gujarat,39.1
Haryana,47.5
Himachal Pradesh,27.2
Jharkhand,16.5
Karnataka,63.6
Kerala,64.7
Madhya Pradesh,20.2
Maharashtra,59.7
Manipur,20.8
Meghalaya,18.4
Mizoram,22.6
Nagaland,23.5
Odisha,21.1
Punjab,38.1
Rajasthan,20.4
Sikkim,47.9
Tamil Nadu,60.2
Telangana,74.3
Tripura,15.7
Uttar Pradesh,19.8
Uttarakhand,44
West Bengal,21.8
Andaman and Nicobar Islands,51.7
Chandigarh,55.1
Dadra and nagar haveli ,36.6
Delhi,100
J&K,24.03
Lakshadweep,5.5
Puducherry,66.2
Daman and diu,36.6
